epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.0033,0.62257,0.65333,1,0.67036,0.000552846,0.000552846,0.000552846
2,39.5462,0.60772,0.73143,1,0.55168,0.00109754,0.00109754,0.00109754
3,58.7812,0.61533,0.61714,1,0.62926,0.00163123,0.00163123,0.00163123
4,77.7111,0.65024,0.63048,1,0.60289,0.00161749,0.00161749,0.00161749
5,97.3271,0.64207,0.66857,1,0.62665,0.00160099,0.00160099,0.00160099
6,117.337,0.61927,0.61333,1,0.62316,0.00158448,0.00158448,0.00158448
7,147.647,0.61995,0.6819,1,0.57178,0.00156798,0.00156798,0.00156798
8,177.183,0.62714,0.69714,1,0.54606,0.00155148,0.00155148,0.00155148
9,206.968,0.6043,0.71429,1,0.55211,0.00153497,0.00153497,0.00153497
10,236.365,0.62206,0.64571,1,0.60742,0.00151847,0.00151847,0.00151847
11,265.235,0.60058,0.6,1,0.63048,0.00150197,0.00150197,0.00150197
12,294.602,0.58322,0.65333,1,0.5835,0.00148546,0.00148546,0.00148546
13,324.027,0.59499,0.68571,1,0.54999,0.00146896,0.00146896,0.00146896
14,353.54,0.5862,0.69714,1,0.53556,0.00145246,0.00145246,0.00145246
15,383.207,0.59954,0.68571,1,0.5466,0.00143595,0.00143595,0.00143595
16,412.474,0.58222,0.73333,1,0.55222,0.00141945,0.00141945,0.00141945
17,441.924,0.58088,0.68571,1,0.56814,0.00140295,0.00140295,0.00140295
18,472.309,0.58812,0.71048,1,0.53198,0.00138644,0.00138644,0.00138644
19,501.274,0.56517,0.68571,1,0.54031,0.00136994,0.00136994,0.00136994
20,531.11,0.56454,0.75238,1,0.47249,0.00135344,0.00135344,0.00135344
21,560.611,0.57167,0.65524,1,0.59711,0.00133693,0.00133693,0.00133693
22,589.761,0.57788,0.71238,1,0.54961,0.00132043,0.00132043,0.00132043
23,618.834,0.56193,0.7219,1,0.51986,0.00130393,0.00130393,0.00130393
24,648.144,0.56899,0.73143,1,0.52859,0.00128742,0.00128742,0.00128742
25,677.473,0.5703,0.71619,1,0.51348,0.00127092,0.00127092,0.00127092
26,782.13,0.56641,0.7219,1,0.51166,0.00125442,0.00125442,0.00125442
27,842.361,0.55382,0.73905,1,0.48294,0.00123791,0.00123791,0.00123791
28,871.369,0.55091,0.7619,1,0.48147,0.00122141,0.00122141,0.00122141
29,900.326,0.5426,0.71048,1,0.53372,0.00120491,0.00120491,0.00120491
30,929.562,0.54407,0.74476,1,0.47371,0.0011884,0.0011884,0.0011884
31,958.889,0.54843,0.74667,1,0.47724,0.0011719,0.0011719,0.0011719
32,987.994,0.54265,0.74476,1,0.51128,0.0011554,0.0011554,0.0011554
33,1017.15,0.5492,0.73143,1,0.49387,0.00113889,0.00113889,0.00113889
34,1046.68,0.53394,0.72,1,0.49224,0.00112239,0.00112239,0.00112239
35,1076.51,0.54056,0.72952,1,0.47428,0.00110589,0.00110589,0.00110589
36,1109.05,0.53933,0.75429,1,0.45535,0.00108938,0.00108938,0.00108938
37,1137.94,0.56397,0.71619,1,0.507,0.00107288,0.00107288,0.00107288
38,1166.99,0.58385,0.74095,1,0.51663,0.00105638,0.00105638,0.00105638
39,1195.97,0.55627,0.73714,1,0.49775,0.00103987,0.00103987,0.00103987
40,1225.12,0.54297,0.75048,1,0.49311,0.00102337,0.00102337,0.00102337
41,1254.69,0.54212,0.75619,1,0.44073,0.00100687,0.00100687,0.00100687
42,1284.21,0.53704,0.75048,1,0.45692,0.000990365,0.000990365,0.000990365
43,1313.79,0.52624,0.76381,1,0.45443,0.000973861,0.000973861,0.000973861
44,1343.58,0.53054,0.76952,1,0.46007,0.000957358,0.000957358,0.000957358
45,1372.22,0.5354,0.74857,1,0.50627,0.000940855,0.000940855,0.000940855
46,1401.27,0.52812,0.75238,1,0.4381,0.000924352,0.000924352,0.000924352
47,1430.76,0.52165,0.79048,1,0.44903,0.000907848,0.000907848,0.000907848
48,1459.77,0.52251,0.76952,1,0.46498,0.000891345,0.000891345,0.000891345
49,1489.43,0.51172,0.79429,1,0.42836,0.000874842,0.000874842,0.000874842
50,1518.84,0.51101,0.76762,1,0.4273,0.000858338,0.000858338,0.000858338
51,1548.66,0.5064,0.76571,1,0.44021,0.000841835,0.000841835,0.000841835
52,1578.33,0.51146,0.78286,1,0.42744,0.000825332,0.000825332,0.000825332
53,1607.96,0.50556,0.78667,1,0.45136,0.000808828,0.000808828,0.000808828
54,1636.99,0.49701,0.7981,1,0.41276,0.000792325,0.000792325,0.000792325
55,1669.37,0.5095,0.79238,1,0.40734,0.000775822,0.000775822,0.000775822
56,1698.91,0.49852,0.79238,1,0.40964,0.000759318,0.000759318,0.000759318
57,1727.97,0.50378,0.77333,1,0.42394,0.000742815,0.000742815,0.000742815
58,1757.55,0.50142,0.80381,1,0.42735,0.000726312,0.000726312,0.000726312
59,1786.78,0.49306,0.8,1,0.40498,0.000709809,0.000709809,0.000709809
60,1816.48,0.49526,0.80381,1,0.42977,0.000693305,0.000693305,0.000693305
61,1846.62,0.4893,0.80571,1,0.41075,0.000676802,0.000676802,0.000676802
62,1876.74,0.49336,0.80762,1,0.42285,0.000660299,0.000660299,0.000660299
63,1906.84,0.4895,0.80952,1,0.40066,0.000643795,0.000643795,0.000643795
64,1937.61,0.48585,0.80952,1,0.40449,0.000627292,0.000627292,0.000627292
65,1966.94,0.48468,0.83048,1,0.40229,0.000610789,0.000610789,0.000610789
66,1996.63,0.48712,0.81524,1,0.39255,0.000594286,0.000594286,0.000594286
67,2026.45,0.4915,0.78286,1,0.41219,0.000577782,0.000577782,0.000577782
68,2056.35,0.47662,0.80952,1,0.42036,0.000561279,0.000561279,0.000561279
69,2086.11,0.47842,0.82095,1,0.38344,0.000544776,0.000544776,0.000544776
70,2115.58,0.47197,0.83048,1,0.38479,0.000528272,0.000528272,0.000528272
71,2145.13,0.47146,0.82857,1,0.39174,0.000511769,0.000511769,0.000511769
72,2174.88,0.46744,0.83619,1,0.39423,0.000495266,0.000495266,0.000495266
73,2203.92,0.46556,0.82857,1,0.39201,0.000478762,0.000478762,0.000478762
74,2236.28,0.46323,0.82667,1,0.38561,0.000462259,0.000462259,0.000462259
75,2265.91,0.46997,0.81143,1,0.42893,0.000445756,0.000445756,0.000445756
76,2295.63,0.46158,0.83048,1,0.39529,0.000429253,0.000429253,0.000429253
77,2325.11,0.46231,0.82667,1,0.38,0.000412749,0.000412749,0.000412749
78,2354.7,0.45878,0.82476,1,0.39111,0.000396246,0.000396246,0.000396246
79,2384.38,0.45452,0.82667,1,0.37538,0.000379743,0.000379743,0.000379743
80,2413.54,0.45591,0.82667,1,0.3929,0.000363239,0.000363239,0.000363239
81,2442.99,0.45496,0.81905,1,0.38246,0.000346736,0.000346736,0.000346736
82,2471.9,0.44121,0.83619,1,0.38607,0.000330233,0.000330233,0.000330233
83,2503.62,0.44472,0.83429,1,0.37744,0.000313729,0.000313729,0.000313729
84,2533,0.44279,0.82857,1,0.35316,0.000297226,0.000297226,0.000297226
85,2562.32,0.43627,0.82667,1,0.3916,0.000280723,0.000280723,0.000280723
86,2591.86,0.44702,0.83048,1,0.35878,0.00026422,0.00026422,0.00026422
87,2621.05,0.43709,0.83619,1,0.34713,0.000247716,0.000247716,0.000247716
88,2651.21,0.44027,0.8419,1,0.36258,0.000231213,0.000231213,0.000231213
89,2680.72,0.42899,0.84381,1,0.35984,0.00021471,0.00021471,0.00021471
90,2710.06,0.42987,0.84762,1,0.36043,0.000198206,0.000198206,0.000198206
91,2754.07,0.42878,0.84571,1,0.36909,0.000181703,0.000181703,0.000181703
92,2862.01,0.42296,0.84571,1,0.3576,0.0001652,0.0001652,0.0001652
93,2957.46,0.42849,0.84,1,0.36743,0.000148696,0.000148696,0.000148696
94,2986.21,0.42291,0.8419,1,0.38203,0.000132193,0.000132193,0.000132193
95,3015.68,0.41922,0.84571,1,0.35026,0.00011569,0.00011569,0.00011569
96,3045.05,0.42645,0.84762,1,0.3836,9.91865e-05,9.91865e-05,9.91865e-05
97,3074.36,0.41765,0.84571,1,0.38553,8.26832e-05,8.26832e-05,8.26832e-05
98,3103.43,0.41756,0.8419,1,0.3948,6.61799e-05,6.61799e-05,6.61799e-05
99,3133.3,0.41608,0.8419,1,0.34603,4.96766e-05,4.96766e-05,4.96766e-05
100,3163.12,0.41336,0.84571,1,0.37366,3.31733e-05,3.31733e-05,3.31733e-05
